	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23	Sample_24	Sample_25	Sample_26	Sample_27
hsa-miR-190a	205.747260179267	262.742426059778	363.180927094236	1132.26630847807	842.669691111499	787.878377892294	1253.45401903184	302.092124599306	392.89170838222	436.031707976961	365.645439310963	155.374817083778	235.960600968468	177.922570322538	142.666409492141	203.580827225887	242.763976982276	267.762043681062	300.5104846777	177.900281478839	376.952955741257	209.112176842545	252.804877180189	134	121.39323386439	113.885962198249	209.766758039411
hsa-miR-219-5p	40.6080118774869	61.1865923700853	42.5602648938557	3.91336281732051	1.88939392625897	9.7994823120932	13.611050552172	10.2404110033663	16.6010581006572	16.1493225176652	15.6705188276127	61.2082612754278	71.7135159806128	46.5024899706633	43.2322453006489	0	8.46851082496311	18.197420444344	6.93485733871616	746.713023575655	1336.17792396794	1187.62946237293	986.251125789381	722	445.686587187833	499.703711686197	1241.81920759331
hsa-miR-2964a-3p	40.6080118774869	61.1865923700853	42.5602648938557	3.91336281732051	1.88939392625897	9.7994823120932	13.611050552172	10.2404110033663	16.6010581006572	16.1493225176652	15.6705188276127	61.2082612754278	71.7135159806128	46.5024899706633	43.2322453006489	0	8.46851082496311	18.197420444344	6.93485733871616	744.372230398301	1332.96981370632	1186.03318621382	984.69060185617	721	445.686587187833	497.379508376028	1239.02231748612
hsa-miR-27b-5p	121.824035632461	147.567663951382	122.00609269572	499.605986344585	572.486359656467	589.928835188011	444.215195293614	332.813357609405	226.881127375648	339.13577287097	177.599213379611	200.103931092745	198.947173365571	188.031807272682	224.807675563374	1110.44087577757	818.622713079768	995.658861454822	903.843073146006	217.693765493843	142.760906642433	158.031339751236	168.536584786793	129	138.735124416446	117.372267163502	190.188527289066
hsa-miR-548g-5p	923.15547001487	910.600462919504	1078.19337731101	30.0024482661239	52.9030299352511	41.1578257107915	60.6310433687663	220.168836572375	199.212697207886	266.463821541476	177.599213379611	442.582812299247	592.214841646351	432.675341466171	473.393086042105	181.98892130799	211.712770624078	179.374572951391	217.292196613106	428.365151455626	697.763981904028	573.06314111812	532.138661224967	181	192.494985127819	149.911113505859	338.42370297025
hsa-miR-548aj-5p	923.15547001487	910.600462919504	1078.19337731101	30.0024482661239	52.9030299352511	41.1578257107915	60.6310433687663	220.168836572375	199.212697207886	266.463821541476	177.599213379611	440.228648404038	592.214841646351	432.675341466171	473.393086042105	181.98892130799	211.712770624078	179.374572951391	217.292196613106	428.365151455626	697.763981904028	573.06314111812	532.138661224967	181	192.494985127819	149.911113505859	338.42370297025
hsa-miR-548x-5p	923.15547001487	910.600462919504	1078.19337731101	30.0024482661239	52.9030299352511	41.1578257107915	60.6310433687663	220.168836572375	199.212697207886	266.463821541476	177.599213379611	440.228648404038	592.214841646351	432.675341466171	473.393086042105	185.073479296261	211.712770624078	179.374572951391	217.292196613106	428.365151455626	697.763981904028	573.06314111812	532.138661224967	181	192.494985127819	149.911113505859	338.42370297025
hsa-miR-548ah-3p	923.15547001487	928.596519498941	1092.38013227563	11.7400884519615	28.3409088938845	17.6390681617678	30.934205800391	179.20719255891	143.875836872362	209.941192729648	156.705188276127	444.936976194456	596.841520096713	438.740883636258	486.3627596323	185.073479296261	211.712770624078	179.374572951391	212.668958387296	428.365151455626	702.57614729647	574.659417277223	549.304424490288	173	185.558228906997	146.424808540606	324.439252434289
hsa-miR-18b-3p	587.462571827644	770.231221599897	785.946225039869	0	0	0	0	501.780139164948	514.632801120373	407.770393571047	579.80919662167	576.770154326146	608.408216222618	661.14409653943	577.150474763662	33.9301378709812	39.5197171831612	54.592261333032	62.4137160484454	545.404810323284	524.526027776132	534.752513299638	513.412374026434	370	291.343761274537	342.819988249833	377.58016447094
hsa-miR-548aq-3p	896.083462096545	903.40204028773	1041.307814403	30.0024482661239	52.9030299352511	39.1979292483728	56.9189386727194	204.808220067326	193.679011174334	242.239837764979	167.152200827869	421.395337242368	580.648145520445	418.52240973597	464.746636981975	178.904363319719	194.775748974152	161.177152507047	205.734101048579	416.661185568861	670.495044680193	550.715274890672	518.093945826067	175	189.026607017408	146.424808540606	330.033032648674
hsa-miR-548am-3p	912.32666684754	903.40204028773	1078.19337731101	9.13117990708118	30.2303028201435	19.5989646241864	17.3231552482189	179.20719255891	132.808464805258	189.754539582567	151.481682000256	437.874484508829	592.214841646351	432.675341466171	477.71631057217	178.904363319719	203.244259799115	171.575678475243	205.734101048579	416.661185568861	684.931540857517	560.292931845293	535.259709091389	171	182.089850796586	145.262706885522	330.033032648674
hsa-miR-516b-5p	16.2432047509948	39.5913244747611	31.2108609221609	3.91336281732051	1.88939392625897	1.95989646241864	2.47473646403128	6400.25687710394	6872.83805367208	4945.73002103498	5719.73937207863	7.06249168562628	13.8800353510863	8.08738956011535	8.64644906012977	160.397015390093	132.673336257755	181.97420444344	245.031625967971	7.02237953205945	1.60405513081386	1.5962761591034	3.12104786642209	2	3.46837811041115	1.16210165508418	0
hsa-miR-31-3p	2.70720079183246	3.59921131588737	5.67470198584743	1948.85468302561	1422.713626473	1366.04783430579	1941.43075603254	143.365754047128	143.875836872362	399.695732312215	146.258175724385	2.35416389520876	4.62667845036211	4.04369478005768	0	126.466877519112	214.535607565732	228.767571300325	198.799243709863	23.4079317735315	19.2486615697663	17.5590377501374	17.1657632653215	12	12.139323386439	18.5936264813469	25.1720109647294
hsa-miR-935	1126.1955294023	1432.48610372317	1171.82596007749	2.60890854488034	1.88939392625897	1.95989646241864	1.23736823201564	824.353085770987	569.969661455897	601.56226378303	699.9498409667	331.937109224435	312.300795399443	297.211566334239	304.787329369574	95.6212976364017	62.1024127163962	85.7878392376217	115.580955645269	28.0895181282378	38.4973231395326	49.4845609322053	42.1341461966982	100	45.088915435345	82.5092175109767	106.281824073302
hsa-miR-193a-3p	2.70720079183246	14.3968452635495	14.1867549646186	1472.72887358495	1127.9681739766	1211.21601377472	1755.82552123019	271.370891589207	354.155906147354	541.002304341785	255.951807517674	11.7708194760438	11.5666961259053	10.1092369501442	12.9696735901947	135.720551483925	160.901705674299	127.381943110408	154.878480564661	4.6815863547063	1.60405513081386	4.78882847731019	1.56052393321105	3	1.73418905520558	2.32420331016836	0
hsa-miR-3065-5p	284.256083142409	255.544003428003	224.150728440974	13.0445427244017	28.3409088938845	21.558861086605	13.611050552172	230.409247575742	237.948499442753	205.903862100232	208.940251034836	301.332978586721	291.480742372813	297.211566334239	246.423798213698	74.0293917185045	76.216597424668	90.98710222172	99.3996218549316	332.392631184147	510.089531598807	376.721173548402	365.162600371385	163	154.342825913296	148.749011850775	260.11077996887
